"id","youSaveSpend","fuelCost08","year","make","model","atvType","drive","VClass","evMotor","evMotorBatterySize","evMotorBatteryType","evMotorElKW"
26365,2250,750,2010,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
26366,2250,750,2010,"Honda","Insight","Hybrid","Front-Wheel Drive","Compact Cars","101V Ni-MH",101,"Ni-MH",NA
26405,2250,750,2010,"Ford","Fusion Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
26415,2250,750,2010,"Mercury","Milan Hybrid FWD","Hybrid","Front-Wheel Drive","Midsize Cars","275V Ni-MH",275,"Ni-MH",NA
26424,1500,900,2010,"Toyota","Camry Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","245V Ni-MH",245,"Ni-MH",NA
26425,3000,600,2010,"Toyota","Prius","Hybrid","Front-Wheel Drive","Midsize Cars","202V Ni-MH",202,"Ni-MH",NA
26473,-250,1250,2010,"Lexus","RX 450h","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
26496,-500,1300,2010,"Lexus","RX 450h AWD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
28588,1750,850,2010,"Lexus","HS 250h","Hybrid","Front-Wheel Drive","Compact Cars","245V Ni-MH",245,"Ni-MH",NA
28634,750,1050,2010,"Chevrolet","Malibu Hybrid","Hybrid","Front-Wheel Drive","Midsize Cars","36V Ni-MH",36,"Ni-MH",NA
28779,750,1050,2010,"Saturn","Vue Hybrid","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","36V Ni-MH",36,"Ni-MH",NA
29333,-2750,1750,2010,"Mercedes-Benz","S400 Hybrid","Hybrid","Rear-Wheel Drive","Large Cars","126V Li-Ion",126,"Li-Ion",NA
29442,1250,950,2010,"Ford","Escape Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29447,1250,950,2010,"Mazda","Tribute Hybrid 2WD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29450,1250,950,2010,"Mercury","Mariner Hybrid FWD","Hybrid","Front-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29455,750,1050,2010,"Ford","Escape Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29459,750,1050,2010,"Mazda","Tribute Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29464,750,1050,2010,"Mercury","Mariner Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","330V Ni-MH",330,"Ni-MH",NA
29712,2500,700,2010,"Honda","Civic Hybrid","Hybrid","Front-Wheel Drive","Compact Cars","158V Ni-MH",158,"Ni-MH",NA
29715,-2000,1600,2010,"Lexus","GS 450h","Hybrid","Rear-Wheel Drive","Compact Cars","288V Ni-MH",288,"Ni-MH",NA
29757,250,1150,2010,"Toyota","Highlander Hybrid 4WD","Hybrid","All-Wheel Drive","Sport Utility Vehicle","288V Ni-MH",288,"Ni-MH",NA
